State,Abbr,P2020,P2023,Date,Status,Governor,Party,Jobs,Affected,Calculation,Type,Title,Link
Maryland,MD,"6,177,224","6,180,253",2022-03-15,Yes,Larry Hogan,Republican,"38,000","19,000",,Executive Order/Legislation, ,
Maryland,MD,"6,177,224","6,180,253",2022-03-15,Yes,Larry Hogan,Republican,"38,000","19,000",,Media/Other News,"Maryland drops degree requirement from some jobs, adding to debate over value of college",https://archive.is/ur6QU
Maryland,MD,"6,177,224","6,180,253",2022-03-15,Yes,Larry Hogan,Republican,"38,000","19,000",,Ratio,Policy change eliminates 4-year degree requirement for thousands of Maryland state jobs,https://www.wbaltv.com/article/maryland-state-jobs-no-degree-requirement/39442847
Maryland,MD,"6,177,224","6,180,253",2022-03-15,Yes,Larry Hogan,Republican,"38,000","19,000",,State Gov. Website/Press Release, ,
Tennessee,TN,"6,910,840","7,126,489",2022-03-28,Yes,Bill Lee,Republican,,,,Executive Order/Legislation,House Bill 1916,https://www.capitol.tn.gov//Bills/112/Amend/HA0763.pdf
Tennessee,TN,"6,910,840","7,126,489",2022-03-28,Yes,Bill Lee,Republican,,,,Media/Other News, ,
Tennessee,TN,"6,910,840","7,126,489",2022-03-28,Yes,Bill Lee,Republican,,,,State Gov. Website/Press Release,House Bill 1916,https://wapp.capitol.tn.gov/apps/Billinfo/default.aspx?BillNumber=HB1916&ga=112
Colorado,CO,"5,773,714","5,877,610",2022-04-14,Yes,Jared Polis,Democrat,"99,000","99,000",,Executive Order/Legislation,Executive Order D 2022 015,https://www.colorado.gov/governor/sites/default/files/inline-files/D%202022%20015%20Skills%20Based%20Hiring%20EO.pdf
Colorado,CO,"5,773,714","5,877,610",2022-04-14,Yes,Jared Polis,Democrat,"99,000","99,000",,Media/Other News,Colorado Department of Labor and Employment Commends Executive Order Focused on Skills-Based Hiring Practices,https://www.markle.org/about-markle/in-the-news/colorado-department-of-labor-and-employment-commends-executive-order-focused-on-skills-based-hiring-practices/
Colorado,CO,"5,773,714","5,877,610",2022-04-14,Yes,Jared Polis,Democrat,"99,000","99,000",,State Gov. Website/Press Release,Press Release: Colorado Department of Labor and Employment Commends Executive Order Focused on Skills-Based Hiring Practices,https://cdle.colorado.gov/press-releases/press-release-colorado-department-of-labor-and-employment-commends-executive-order
Colorado,CO,"5,773,714","5,877,610",2022-04-14,Yes,Jared Polis,Democrat,"99,000","99,000",,,,
South Carolina,SC,"5,118,425","5,373,555",2022-06-02,Partial,Henry McMaster,Republican,,,,Executive Order/Legislation, ,
South Carolina,SC,"5,118,425","5,373,555",2022-06-02,Partial,Henry McMaster,Republican,,,,Media/Other News,South Carolina Considers Removing College Degree Requirements,https://www.governing.com/work/south-carolina-considers-removing-college-degree-requirements
